Traffic source,Source type,Source title,Views,Watch time (hours),Average view duration,Impressions,Impressions click-through rate (%)
YT_SEARCH.katzen t. v.,,katzen t. v.,1049,1473.3945,1:24:16,0,
YT_SEARCH.고양이 새,,고양이 새,1034,972.8195,0:56:26,0,
YT_SEARCH.cat t v,,cat t v,1034,735.7551,0:42:41,0,
YT_SEARCH.cats and birds,,cats and birds,1029,491.3407,0:28:38,0,
YT_SEARCH.squirrel sounds,,squirrel sounds,1029,480.7137,0:28:01,0,
YT_SEARCH.игры для кошек,,игры для кошек,1024,363.4142,0:21:17,0,
YT_SEARCH.bird and squirrel video for cats,,bird and squirrel video for cats,1007,768.1173,0:45:46,0,
YT_SEARCH.кошка тв,,кошка тв,998,565.5736,0:34:00,0,
YT_SEARCH.kattenfilmpjes,,kattenfilmpjes,997,455.6955,0:27:25,0,
YT_SEARCH.gatos,,gatos,990,886.6253,0:53:44,0,
YT_SEARCH.cat music,,cat music,988,1777.7566,1:47:57,0,
YT_SEARCH.calming videos for cats,,calming videos for cats,988,1645.2084,1:39:54,0,
YT_SEARCH.birds no ads,,birds no ads,974,1714.091,1:45:35,0,
YT_SEARCH.cats watching birds,,cats watching birds,971,513.5874,0:31:44,0,
YT_SEARCH.birds for cats to watch chirping,,birds for cats to watch chirping,971,676.6079,0:41:48,0,
YT_SEARCH.นกให้แมวดู,,นกให้แมวดู,966,408.204,0:25:21,0,
YT_SEARCH.猫が落ち着く音,,猫が落ち着く音,966,674.0103,0:41:51,0,
YT_SEARCH.film dla kota,,film dla kota,962,499.7695,0:31:10,0,
YT_SEARCH.game for cats,,game for cats,960,575.2077,0:35:57,0,
YT_SEARCH.kitty tv for cats,,kitty tv for cats,960,1056.0787,1:06:00,0,
YT_SEARCH.calming cat videos,,calming cat videos,958,2198.6516,2:17:42,0,
YT_SEARCH.videos for cats to play,,videos for cats to play,956,665.845,0:41:47,0,
YT_SEARCH.vogel video für katzen,,vogel video für katzen,947,402.9244,0:25:31,0,
YT_SEARCH.猫 遊ぶ 画面,,猫 遊ぶ 画面,947,413.107,0:26:10,0,
YT_SEARCH.猫が遊ぶ映像 鳥,,猫が遊ぶ映像 鳥,939,286.2092,0:18:17,0,
