Traffic source,Source type,Source title,Views,Watch time (hours),Average view duration,Impressions,Impressions click-through rate (%)
YT_SEARCH.dog hiking,,dog hiking,919,1976.6288,2:09:03,0,
YT_SEARCH.nature no ads,,nature no ads,918,1420.9194,1:32:52,0,
YT_SEARCH.dog video,,dog video,909,1597.9772,1:45:28,0,
YT_SEARCH.programas para perros,,programas para perros,906,797.9096,0:52:50,0,
YT_SEARCH.para perritos,,para perritos,891,993.8374,1:06:55,0,
YT_SEARCH.walking dog,,walking dog,872,965.1936,1:06:24,0,
YT_SEARCH.документалки для собак,,документалки для собак,871,196.3777,0:13:31,0,
YT_SEARCH.música para perros,,música para perros,860,1740.5392,2:01:25,0,
YT_SEARCH.dog beach,,dog beach,850,1201.0205,1:24:46,0,
YT_SEARCH.dog calming music no ads,,dog calming music no ads,829,2335.8644,2:49:03,0,
YT_SEARCH.relaxing music for dogs,,relaxing music for dogs,819,1465.8965,1:47:23,0,
YT_SEARCH.video for dogs to watch,,video for dogs to watch,801,846.9774,1:03:26,0,
YT_SEARCH.dog desensitization sounds,,dog desensitization sounds,797,1148.8791,1:26:29,0,
YT_SEARCH.tv for dogs on youtube,,tv for dogs on youtube,796,2255.9048,2:50:02,0,
YT_SEARCH.background noise for dogs,,background noise for dogs,762,1550.8628,2:02:06,0,
YT_SEARCH.dog enrichment videos,,dog enrichment videos,750,1130.7139,1:30:27,0,
YT_SEARCH.nature tv,,nature tv,750,1420.9306,1:53:40,0,
YT_SEARCH.nature tv for dogs,,nature tv for dogs,748,1749.6434,2:20:20,0,
YT_SEARCH.dog music to calm them,,dog music to calm them,736,1305.0025,1:46:23,0,
YT_SEARCH.musica relajante para perros,,musica relajante para perros,729,1081.1141,1:28:58,0,
YT_SEARCH.tv cachorro,,tv cachorro,728,976.6063,1:20:29,0,
YT_SEARCH.dog t. v.,,dog t. v.,723,1606.2142,2:13:17,0,
YT_SEARCH.dog no ads,,dog no ads,718,2067.7665,2:52:47,0,
YT_SEARCH.dog tv stimulation,,dog tv stimulation,716,1202.9008,1:40:48,0,
YT_SEARCH.dog anxiety music,,dog anxiety music,714,1785.0276,2:30:00,0,
YT_SEARCH.nature dog tv,,nature dog tv,704,1647.2469,2:20:23,0,
YT_SEARCH.show for dogs to watch,,show for dogs to watch,698,779.4615,1:07:00,0,
YT_SEARCH.dog noises,,dog noises,698,1021.5263,1:27:48,0,
YT_SEARCH.caricaturas para perros,,caricaturas para perros,691,477.5652,0:41:28,0,
YT_SEARCH.perritos,,perritos,678,810.7499,1:11:44,0,
YT_SEARCH.walk dog,,walk dog,675,924.7084,1:22:11,0,
YT_SEARCH.relaxing for dogs,,relaxing for dogs,673,1206.0968,1:47:31,0,
YT_SEARCH.dog youtube,,dog youtube,669,1511.9997,2:15:36,0,
YT_SEARCH.perro tv,,perro tv,668,1174.3734,1:45:28,0,
YT_SEARCH.tv for dogs with anxiety,,tv for dogs with anxiety,667,1110.3633,1:39:52,0,
YT_SEARCH.music for dogs no ads,,music for dogs no ads,663,1663.5904,2:30:33,0,
YT_SEARCH.dog nature videos,,dog nature videos,659,1280.4347,1:56:34,0,
YT_SEARCH.dog asmr,,dog asmr,658,1135.4289,1:43:32,0,
YT_SEARCH.puppy tv for dogs to watch,,puppy tv for dogs to watch,656,992.0141,1:30:43,0,
YT_SEARCH.calming tv for dogs,,calming tv for dogs,641,1000.0658,1:33:36,0,
YT_SEARCH.calm dog tv,,calm dog tv,634,1252.07,1:58:29,0,
